"""Fabric",,,,,Yes,0,Yes,,,,,,,,,,,,,,,,,,
F_PAC_0.60_0.51_2.00_2.30_2.30_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,2.30_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,2.30_Loft_Floor,2.30_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_0.51_2.00_3.10_0.40_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_2.00_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_2.00_0.15_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_1.20_2.00_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_2.00_2.30_2.30_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,2.30_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,2.30_Loft_Floor,2.30_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.45_0.25_3.10_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.45_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_0.51_3.10_1.50_1.50_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,3.10_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_2.00_3.10_0.40_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.45_3.10_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.45_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_1.20_4.80_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_1.20_2.00_3.10_0.40_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_2.00_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.45_0.25_3.10_3.10_0.29_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.45_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.29_Loft_Floor,0.29_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_1.20_3.10_3.10_0.40_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,3.10_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_0.51_2.00_3.10_0.40_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.25_3.10_3.10_0.29_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.29_Loft_Floor,0.29_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_1.20_4.80_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_0.51_2.00_1.50_1.50_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_3.10_1.50_1.50_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.45_0.25_2.00_3.10_0.29_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.45_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.29_Loft_Floor,0.29_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.45_2.00_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.45_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_0.51_3.10_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_4.80_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,4.80_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_2.00_3.10_0.40_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.25_2.00_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_2.00_2.30_2.30_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,2.30_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,2.30_Loft_Floor,2.30_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_3.10_0.15_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_2.00_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_0.51_2.00_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.45_0.45_3.10_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.45_External_Wall,Single_Brick_Internal_Wall,0.45_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_1.20_3.10_1.50_1.50_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,3.10_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.45_0.25_2.00_3.10_0.29_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.45_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.29_Loft_Floor,0.29_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_0.51_2.00_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_0.51_4.80_2.30_2.30_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,2.30_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,2.30_Loft_Floor,2.30_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_0.51_4.80_0.15_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_2.00_1.50_1.50_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_0.51_4.80_2.30_2.30_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,2.30_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,2.30_Loft_Floor,2.30_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_3.10_1.50_1.50_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_2.00_3.10_0.40_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_0.51_2.00_3.10_0.40_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_1.60_0.51_3.10_3.10_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,1.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,1.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.45_2.00_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.45_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_4.80_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,4.80_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_2.00_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.45_0.45_3.10_3.10_0.29_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.45_External_Wall,Single_Brick_Internal_Wall,0.45_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.29_Loft_Floor,0.29_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,0.45_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_2.00_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_4.80_3.10_0.40_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,4.80_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_1.20_2.00_2.30_2.30_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,2.30_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,2.30_Loft_Floor,2.30_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_0.51_4.80_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.25_3.10_3.10_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.25_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.35_0.45_3.10_3.10_0.29_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.35_External_Wall,Single_Brick_Internal_Wall,0.45_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.29_Loft_Floor,0.29_Loft_Ceiling,Wooden_Door,3.10_Window,No,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,0.35_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.60_0.51_2.00_0.15_0.15_2010_Electric,0,Electric_Hob, ,0,No,0.8,Yes,0.60_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,0.60_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_1.20_2.00_0.15_0.15_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,0.15_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.15_Loft_Floor,0.15_Loft_Ceiling,Wooden_Door,2.00_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_2.10_0.51_4.80_3.10_0.40_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,2.10_External_Wall,Single_Brick_Internal_Wall,0.51_Ground_Floor,3.10_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,0.40_Loft_Floor,0.40_Loft_Ceiling,Wooden_Door,4.80_Window,No,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,2.10_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
F_PAC_0.50_1.20_2.00_1.50_1.50_2010_Gas,0,Gas_Hob, ,0,No,0.8,Yes,0.50_External_Wall,Single_Brick_Internal_Wall,1.20_Ground_Floor,1.50_Roof,Suspended_Wooden_Floor,Suspended_Wooden_Ceiling,1.50_Loft_Floor,1.50_Loft_Ceiling,Wooden_Door,2.00_Window,No,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,0.50_External_Wall,Single_Brick_Internal_Wall_Flood,Curtains,Yes,Yes
